hidden_size,rows,dtype,torch_p50_ms_median,triton_p50_ms_median,speedup_median,speedup_run1,speedup_run2,speedup_run3,max_abs_error_max
1024,256,float16,0.10765,0.04605,2.41324200913242,2.4690553745928336,2.2173017507723998,2.41324200913242,0.0078125
2048,256,float16,0.11474999999999999,0.04555,2.519209659714599,2.5670454545454544,2.399795501022495,2.519209659714599,0.0078125
4096,256,float16,0.1321,0.044950000000000004,2.9388209121245823,2.9388209121245823,2.6818642350557247,2.969732246798603,0.0078125
